Record,custid,SUBSCRIBE,Disc,Title,LastOrder,Pcode,DA_Income,DA_Under20,DA_Over60,DA_Single,NumDeliv,NumMeals,MealsPerDeliv,Healthy,Veggie,Meaty,Special,TotPurch,Weeks3Meals,Sample
505,1819703,N,NA,NA,11/18/2017,G6G 1L2,89.8,158,78,54,14,14,1,3,1,10,0,162.8196553,NA,Validation
506,3223289,NA,NA,Mr,2/15/2018,E1J 2Y1,101.9,281,174,22,24,24,1,6,3,4,11,243.5911717,NA,Holdout
507,1454470,N,NA,NA,11/6/2017,R9A 2T9,42.5,106,241,46,13,26,2,11,0,0,15,328.2381908,NA,Estimation
508,1573502,NA,NA,NA,12/8/2017,K2S 1Z3,65,135,211,5,12,36,3,0,5,2,29,483.1580434,NA,Holdout
509,2953963,N,NA,NA,1/18/2018,T4V 0R3,93.2,124,260,6,12,12,1,2,0,0,10,155.2262107,NA,Estimation
510,1866759,Y,NA,Ms,12/30/2017,R5G 2J,47.7,98,129,28,6,12,2,5,1,6,0,148.0471181,1,Estimation
511,1286049,N,Senior,Ms,1/7/2018,J0X 2W,19.4,158,181,57,14,42,3,1,4,5,32,468.0639594,NA,Validation
512,2490192,N,NA,Mrs,11/28/2017,E8A 3R,51.3,191,100,34,19,19,1,9,0,1,9,216.9308033,NA,Estimation
513,2566433,N,NA,NA,1/9/2018,K7G 0Y,50.7,149,131,32,28,28,1,2,0,5,21,383.4699814,NA,Validation
514,1258772,NA,Student,NA,1/17/2018,G6L 3T,70.9,200,143,17,17,34,2,4,4,13,13,384.2114885,NA,Holdout
515,2997609,N,NA,NA,2/3/2018,B2E 1P,61.9,269,111,51,33,33,1,30,1,2,0,355.4216925,NA,Validation
516,2487578,NA,NA,Ms,2/26/2018,R1A 1W,74.6,266,168,46,37,37,1,22,2,1,12,442.8813216,7,Holdout
517,2572138,NA,NA,NA,2/5/2018,G5V 1H,61.6,80,143,42,16,16,1,4,0,1,11,195.2499043,NA,Holdout
518,2290298,N,NA,Mr,2/13/2018,J8N 2W,77.5,220,135,29,15,30,2,1,3,11,15,355.8822256,NA,Estimation
519,2708796,NA,NA,NA,11/17/2017,M4W 2R,62.7,119,162,53,16,32,2,19,1,1,11,339.6740403,NA,Holdout
520,1595472,NA,NA,Mrs,1/30/2018,J5R 0V,93.8,187,160,17,20,40,2,11,7,9,13,422.8394246,NA,Holdout
521,3047802,N,NA,Mrs,12/9/2017,N3Y 0L3,55.3,202,156,10,10,20,2,9,4,5,2,268.543335,NA,Validation
522,1800933,NA,Senior,Dr,12/5/2017,L7B 0K9,75.8,153,107,10,12,24,2,11,2,5,6,271.1751649,NA,Holdout
523,3249561,N,NA,Mrs,2/14/2018,E3E 3C8,52.3,142,153,21,26,52,2,22,5,11,14,620.4859867,NA,Validation
524,1268015,NA,NA,Dr,1/30/2018,M1B 2Y6,74.2,208,103,73,27,81,3,10,24,1,46,873.7905425,9,Holdout
525,2855494,N,NA,NA,1/30/2018,L7J 1W0,69,204,168,34,15,30,2,0,0,0,30,348.395426,NA,Validation
526,1978095,N,NA,Mr,2/24/2018,B2G 2Z3,36.3,79,76,42,25,50,2,13,0,0,37,601.3306687,NA,Estimation
527,3252384,NA,NA,Mr,1/1/2018,T4X 2L5,67.1,134,337,44,31,93,3,18,9,16,50,981.1411072,NA,Holdout
528,1519426,NA,NA,Mr,2/18/2018,L9S 0V2,93.6,290,160,68,20,40,2,12,0,4,24,542.3601763,NA,Holdout
529,2728965,N,Senior,Ms,2/13/2018,E8P 0P8,83.6,158,94,34,17,34,2,16,4,3,11,382.2408711,NA,Estimation
530,2367758,Y,NA,Dr,2/13/2018,E7P 3V,72.9,238,148,30,18,36,2,17,6,3,10,447.4371745,2,Estimation
531,2440856,N,NA,Mrs,2/21/2018,E4X 3R,46.2,186,71,45,40,120,3,89,0,27,4,1424.443711,NA,Estimation
532,3271893,N,Senior,Ms,3/1/2018,E8P 2J,93.4,151,162,17,18,54,3,18,0,0,36,569.2568376,NA,Estimation
533,1552393,N,NA,Mr,1/29/2018,T7Z 0L,71.6,205,75,48,22,44,2,20,2,11,11,470.1685839,NA,Estimation
534,2060818,NA,NA,Mrs,2/12/2018,J5A 1G,61,211,130,50,19,38,2,7,0,31,0,389.6189932,NA,Holdout
535,1599207,N,Senior,NA,11/3/2017,E5P 2J,102.8,256,143,44,10,10,1,8,2,0,0,102.0710777,NA,Validation
536,1876804,N,NA,Mrs,12/19/2017,J8N 0S,54.6,185,132,6,14,28,2,9,0,1,18,390.8778987,NA,Validation
537,2295372,NA,Senior,Mr,2/10/2018,E5M 0C,76.1,140,115,36,9,27,3,19,0,5,3,284.4774503,NA,Holdout
538,2371321,NA,NA,NA,2/18/2018,J1A 3L,95.6,109,182,93,18,18,1,1,2,15,0,215.7429542,NA,Holdout
539,2746513,NA,NA,Mr,2/24/2018,E7B 0V,82,21,189,49,37,111,3,42,1,17,51,1515.934661,NA,Holdout
540,1952956,N,NA,Dr,1/20/2018,E5A 0R,63.9,237,91,63,27,27,1,6,1,12,8,290.0291496,NA,Validation
541,1684167,N,Senior,Mr,12/20/2017,N4X 2K1,NA,201,NA,NA,20,60,3,27,5,1,27,768.0545917,NA,Validation
542,1353094,N,NA,NA,1/5/2018,G0C 3L6,77.1,273,104,40,30,60,2,0,3,6,51,779.8091787,NA,Estimation
543,2711665,NA,NA,Mr,11/12/2017,J3T 1W6,80.3,164,119,35,13,26,2,10,1,3,12,320.5088062,4,Holdout
544,2239304,N,NA,Mr,2/9/2018,J5W 0S1,70.4,245,192,13,19,38,2,16,3,7,12,527.589954,NA,Validation
545,2422450,N,NA,NA,12/30/2017,G0T 0J4,96.4,234,90,38,9,9,1,0,0,0,9,105.7362062,NA,Estimation
546,3066871,N,NA,NA,12/22/2017,A0E 1Y1,NA,115,NA,NA,24,48,2,32,11,1,4,622.3813494,NA,Estimation
547,1234450,Y,NA,Mr,1/7/2018,J5A 2L3,56,199,122,29,9,27,3,4,2,6,15,343.7076861,2,Estimation
548,2077392,N,Senior,Mrs,11/20/2017,J0M 3W4,80.7,311,152,6,18,36,2,0,2,5,29,423.8312132,NA,Validation
549,1512048,N,NA,Dr,1/20/2018,V9G 0S7,26,130,225,20,33,66,2,15,10,9,32,861.4460547,NA,Estimation
550,1816626,N,NA,Mr,1/10/2018,G0R 0K,77.8,204,154,22,11,33,3,4,1,0,28,461.1928163,NA,Validation
551,1744313,N,NA,Ms,2/24/2018,J8H 1H,79.9,246,117,74,25,25,1,9,0,6,10,310.569558,NA,Validation
552,3063730,N,NA,Mr,1/9/2018,E8B 3A,65.5,183,194,26,22,44,2,8,0,4,32,486.4620068,NA,Validation
553,1863946,NA,NA,NA,2/14/2018,G0R 1H,47.7,252,122,25,47,25,0.531914894,14,0,7,4,268.9371112,7,Holdout
554,2665189,N,NA,NA,12/23/2017,E5B 1H,62.1,237,225,54,28,56,2,0,5,2,49,631.6207496,NA,Estimation
555,1411002,Y,Senior,NA,1/16/2018,T1G 3A,101,141,210,55,34,68,2,12,5,1,50,904.4416302,5,Estimation
556,2773003,N,Senior,NA,12/4/2017,L6A 3A,55.1,209,169,22,16,32,2,18,5,3,6,365.520372,NA,Estimation
557,2058680,N,Student,Mrs,1/4/2018,E6L 2W,23.4,180,161,49,11,11,1,3,0,3,5,153.6911519,NA,Estimation
558,2933756,N,NA,Mrs,12/9/2017,H7B 0V,86.2,232,136,0,20,60,3,16,1,7,36,724.0634703,NA,Estimation
559,2558795,NA,NA,Dr,2/11/2018,E5J 0E,60,122,86,47,15,30,2,24,2,3,1,416.4332016,NA,Holdout
560,2668686,N,NA,Mrs,1/13/2018,L7J 0W,59.8,192,218,32,13,26,2,14,2,0,10,353.1950136,NA,Estimation
561,1234625,N,Senior,Mrs,2/25/2018,J2N 1S7,45.7,203,151,18,15,30,2,20,5,0,5,377.8569444,NA,Estimation
562,2075276,N,NA,Mr,1/28/2018,N3Y 3P6,NA,221,NA,NA,28,56,2,23,7,12,14,687.5014835,NA,Estimation
563,2014237,Y,Senior,Mr,1/16/2018,S9X 1X3,84,212,128,30,25,75,3,0,24,28,23,1016.405504,5,Validation
564,3039778,N,NA,NA,12/25/2017,T1G 1Z9,58.3,125,110,50,23,46,2,30,0,0,16,510.1981551,NA,Validation
565,1308570,Y,NA,NA,1/27/2018,H7X 3H8,57.9,131,149,19,34,68,2,15,9,26,18,788.9707148,1,Validation
566,2223313,N,NA,Mr,2/26/2018,J4V 0C8,91.9,160,116,50,18,18,1,0,1,6,11,210.7322579,NA,Validation
567,2363791,N,NA,Ms,11/27/2017,T9M 1G6,65,110,64,59,20,40,2,1,2,11,26,514.5093157,NA,Validation
568,2744146,Y,Student,NA,12/13/2017,A1Y 2E4,66.8,339,141,40,14,28,2,5,6,1,16,313.2470508,6,Validation
569,1361380,NA,NA,Mr,12/29/2017,V4V 3E8,57.5,204,86,32,29,58,2,28,5,15,10,653.9684807,NA,Holdout
570,2160786,N,NA,Mrs,12/28/2017,H8R 2L,88,171,138,54,18,36,2,1,6,14,15,417.3968448,NA,Validation
571,2643954,N,NA,NA,12/12/2017,T4X 1T,50.1,186,113,41,14,28,2,13,0,8,7,362.0106685,NA,Estimation
572,2962071,N,Student,Mr,1/24/2018,K1E 2Y,87,172,178,23,24,72,3,34,6,0,32,880.5467539,NA,Estimation
573,2928647,NA,NA,Mr,12/17/2017,G4W 0G,86.1,193,148,39,24,48,2,38,9,1,0,504.5004011,NA,Holdout
574,2751253,N,NA,NA,1/16/2018,L4P 1W,60.6,186,227,45,14,28,2,6,7,0,15,321.8218655,NA,Estimation
575,3222987,NA,NA,Mr,2/2/2018,J5A 0H,87,155,143,52,37,111,3,8,17,0,86,1357.928439,NA,Holdout
576,1241470,N,NA,Mrs,2/14/2018,L9T 2J,89.7,173,87,40,18,18,1,11,3,1,3,207.4128521,NA,Estimation
577,1554663,N,NA,Mr,2/17/2018,J4V 2J,81.5,148,148,59,31,62,2,30,1,2,29,743.5541348,NA,Estimation
578,2059874,N,NA,Mr,12/24/2017,H9P 3P,NA,143,NA,NA,20,40,2,26,6,0,8,439.8117965,NA,Validation
579,1548604,N,Senior,Ms,1/5/2018,R4K 0G,30.8,241,141,25,16,32,2,7,0,4,21,400.9113109,NA,Validation
580,1188777,N,NA,Dr,2/10/2018,T1G 0E,46.7,162,174,45,25,50,2,15,8,18,9,601.5099302,NA,Validation
581,1843017,N,NA,Mr,2/1/2018,E8T 3S3,42.5,302,146,26,17,34,2,22,2,9,1,452.4018853,NA,Estimation
582,1765141,N,NA,NA,11/19/2017,J6N 0T0,73.4,208,163,36,12,24,2,14,0,10,0,256.6794868,NA,Validation
583,2987835,N,NA,Mrs,1/20/2018,A2H 0A1,101.7,261,171,28,26,52,2,37,1,1,13,693.2305597,NA,Validation
584,1935624,N,NA,Mr,2/16/2018,G3Z 3W6,103.6,166,135,33,42,25,0.595238095,8,5,3,9,341.1777408,NA,Validation
585,1322210,N,NA,NA,1/5/2018,H7M 3P8,79.8,42,114,81,15,30,2,23,2,5,0,409.138952,NA,Estimation
586,2562162,N,NA,Mr,1/25/2018,E6J 1G9,87.6,201,92,52,28,56,2,11,11,2,32,714.6150074,NA,Estimation
587,1424517,N,NA,Mrs,2/24/2018,P8N 0L7,67.1,279,121,64,32,32,1,12,0,1,19,362.1754793,NA,Estimation
588,1316578,NA,Student,Ms,1/16/2018,N7G 3K3,79.4,194,175,68,17,17,1,9,0,8,0,207.2983713,NA,Holdout
589,2293295,N,NA,Mrs,2/10/2018,J8A 0T8,77.5,168,261,44,12,12,1,3,0,6,3,137.8963779,NA,Estimation
590,1165073,NA,NA,Ms,1/22/2018,K7G 1Y,54.8,218,154,28,33,66,2,2,6,13,45,773.4824489,NA,Holdout
591,2126445,NA,Senior,Ms,2/13/2018,G5H 3S,64.1,200,93,23,25,25,1,0,0,0,25,260.1649031,NA,Holdout
592,1239809,NA,NA,Ms,12/31/2017,G5B 1H,67.3,132,178,24,18,36,2,1,0,0,35,396.6926051,NA,Holdout
593,1872780,Y,NA,Ms,2/23/2018,E7L 3L,97.9,316,104,0,50,100,2,1,34,3,62,1281.090754,1,Validation
594,2350870,N,Student,NA,12/8/2017,B2T 2W,49.3,184,141,31,22,44,2,9,1,3,31,514.0779966,NA,Validation
595,2675344,NA,NA,NA,1/7/2018,J2W 0H,NA,93,NA,NA,33,66,2,1,14,1,50,669.3282108,NA,Holdout
596,1220598,N,Senior,Ms,12/24/2017,G5T 2B,85.4,106,173,0,17,34,2,5,4,5,20,470.3928475,NA,Estimation
597,3228580,N,Senior,Mr,2/20/2018,E7B 3X,53.7,237,157,33,6,12,2,7,0,0,5,140.1413028,NA,Estimation
598,1793203,NA,NA,NA,1/11/2018,V0L 3S,61.3,297,134,47,31,31,1,5,0,9,17,333.1778489,NA,Holdout
599,3170096,N,Senior,Ms,12/5/2017,B1B 1J,88.1,278,117,50,16,32,2,1,11,13,7,409.1649105,NA,Estimation
600,1980445,N,Senior,Mrs,12/2/2017,H0H 2B,NA,199,NA,NA,13,26,2,15,4,7,0,335.8444027,NA,Estimation
601,1305310,N,NA,Ms,2/26/2018,B0V 2H9,63.2,265,123,34,11,33,3,5,15,13,0,365.9983294,NA,Estimation
602,2886794,N,NA,Mrs,12/28/2017,J6R 3P0,100,255,96,58,27,27,1,8,0,9,10,310.8181092,NA,Estimation
603,2444384,Y,Senior,Mrs,2/15/2018,L9N 0L2,80.6,206,154,20,34,68,2,5,9,1,53,811.0079022,1,Validation
604,2613129,N,NA,Mr,1/30/2018,B1K 1E1,80.8,202,124,14,30,30,1,18,1,1,10,324.5187294,NA,Estimation
605,2392716,N,NA,NA,1/9/2018,L3V 1R5,67.3,308,152,66,26,52,2,1,8,0,43,627.8871086,NA,Validation
606,1168865,N,NA,NA,12/18/2017,G0S 1C4,47.3,31,208,20,16,32,2,11,4,4,13,418.4947666,NA,Estimation
607,1566695,N,NA,Mrs,1/20/2018,T1L 2L5,40.1,211,152,37,37,74,2,33,5,34,2,800.702055,NA,Estimation
608,2863844,N,NA,NA,2/11/2018,T1P 0G1,65.5,171,154,28,16,32,2,0,6,3,23,338.6116483,NA,Validation
609,1659342,NA,NA,Mr,2/17/2018,V1R 2A4,110,77,122,50,27,54,2,9,11,10,24,604.1057022,NA,Holdout
610,1932758,N,Senior,Mrs,2/10/2018,B1K 2R,74.4,151,190,47,22,44,2,24,0,0,20,461.6042692,NA,Validation
611,3051341,NA,Senior,Mrs,12/28/2017,J0M 0C,73.3,190,146,62,24,48,2,24,11,6,7,616.6050842,NA,Holdout
612,3180941,Y,Student,Ms,1/7/2018,J0E 1H,76.7,167,239,86,11,22,2,1,7,13,1,274.6197884,5,Estimation
613,2280289,N,NA,NA,1/24/2018,H7X 3L,62.3,268,135,53,24,48,2,14,5,5,24,627.9290273,NA,Validation
614,1614133,N,NA,Mr,11/21/2017,M8V 2J,42,248,220,40,18,18,1,0,0,1,17,210.4960721,NA,Validation
615,3089783,NA,Senior,Mrs,2/17/2018,E5M 3X,123.5,122,103,16,27,54,2,10,0,15,29,588.3445597,NA,Holdout
616,2914129,Y,NA,Mr,2/25/2018,E4T 0H,61.5,237,115,43,36,36,1,11,4,10,11,389.2938325,2,Validation
617,2085049,N,NA,NA,11/19/2017,H3J 1L,64,254,163,51,16,16,1,2,0,4,10,184.2750564,NA,Validation
618,2361256,N,NA,Ms,2/7/2018,G6G 0C,34.2,116,95,26,28,84,3,0,17,21,46,1019.008938,NA,Validation
619,1874163,N,NA,NA,12/14/2017,E2A 1T,65,182,214,23,16,32,2,8,0,3,21,332.6270606,NA,Estimation
620,2355115,NA,NA,Mr,1/10/2018,E5T 3G,65.1,315,140,43,21,42,2,6,1,9,26,551.4193207,NA,Holdout
621,2854453,NA,NA,Mrs,1/25/2018,K9V 2C1,64.9,235,134,28,22,66,3,15,6,2,43,891.2234184,NA,Holdout
622,3199764,N,NA,Mr,2/23/2018,B1G 3Z9,34.3,263,170,49,34,34,1,7,1,10,16,461.8239558,NA,Estimation
623,1534259,N,Senior,Ms,2/28/2018,T4L 0G4,105.7,322,130,21,29,29,1,18,1,0,10,316.8333767,NA,Validation
624,2209458,N,Senior,NA,12/7/2017,E4H 0Z5,105.3,208,175,62,14,42,3,18,1,23,0,434.9043342,NA,Estimation
625,3274610,N,NA,Dr,2/13/2018,G6G 1L2,83.8,218,169,35,21,42,2,39,0,0,3,539.8007223,NA,Validation
626,3007130,NA,Student,Mr,12/15/2017,E1J 2Y1,NA,275,NA,NA,10,20,2,0,6,6,8,213.6851581,NA,Holdout
627,2271727,NA,NA,Mr,1/3/2018,R9A 2T9,NA,200,NA,NA,17,51,3,30,9,0,12,643.5243395,NA,Holdout
628,1964017,N,NA,NA,2/7/2018,K2S 1Z3,65.1,226,110,44,22,44,2,4,3,6,31,613.7663123,NA,Estimation
629,3002082,N,Senior,Mr,12/29/2017,T4V 0R3,63.6,162,233,79,16,32,2,0,0,5,27,359.6747659,NA,Validation
630,1199657,N,Senior,Ms,2/8/2018,R5G 2J,97.3,142,151,39,37,74,2,42,1,31,0,778.5485888,NA,Estimation
631,2798361,NA,NA,Dr,1/11/2018,J0X 2W,45.4,196,135,37,17,34,2,18,9,5,2,374.5503021,NA,Holdout
632,1408976,NA,NA,Mrs,12/5/2017,E8A 3R,59.8,160,155,6,7,14,2,0,5,3,6,151.4186263,1,Holdout
633,2179143,N,NA,Ms,2/3/2018,K7G 0Y,55.4,255,92,43,18,36,2,2,0,2,32,362.5950996,NA,Validation
634,2625130,N,NA,Ms,1/29/2018,G6L 3T,70.4,154,137,61,26,52,2,0,12,10,30,721.1340212,NA,Estimation
635,1869620,N,NA,NA,2/4/2018,B2E 1P,38.5,145,126,61,13,26,2,14,7,4,1,279.3667365,NA,Validation
636,3300765,NA,Senior,Ms,12/17/2017,R1A 1W,55.9,136,312,43,21,42,2,3,20,12,7,552.3706346,NA,Holdout
637,2881021,Y,NA,Dr,1/25/2018,G5V 1H,84.3,278,249,50,32,64,2,30,14,5,15,706.0897791,3,Estimation
638,2738756,N,NA,Mr,1/16/2018,J8N 2W,79.3,173,167,19,12,24,2,1,0,5,18,332.9675357,NA,Estimation
639,2206876,N,Student,Mrs,2/21/2018,M4W 2R,50.5,158,131,72,29,58,2,13,14,2,29,756.8209016,NA,Estimation
640,1647447,N,NA,Dr,1/13/2018,J5R 0V,81.2,191,186,41,16,48,3,20,20,5,3,591.6671535,NA,Estimation
641,2035803,N,NA,Ms,1/1/2018,N3Y 0L3,21.3,166,142,80,14,28,2,2,3,6,17,294.8840138,NA,Validation
642,2462867,NA,Senior,NA,1/2/2018,L7B 0K9,63.2,316,164,81,9,18,2,10,3,1,4,236.9735579,3,Holdout
643,1447034,NA,NA,Ms,1/24/2018,E3E 3C8,84.3,248,102,31,39,78,2,41,0,37,0,1036.170834,NA,Holdout
644,2162743,NA,NA,Mr,2/9/2018,M1B 2Y6,56.8,149,312,52,26,52,2,13,19,0,20,601.6703616,NA,Holdout
645,3142019,Y,Senior,Ms,2/9/2018,L7J 1W0,69.3,221,230,41,17,51,3,21,4,3,23,712.905011,3,Estimation
646,3155176,NA,NA,Mr,12/23/2017,B2G 2Z3,38.1,218,157,49,15,30,2,3,10,0,17,337.2126446,NA,Holdout
647,1694072,NA,NA,Mr,12/28/2017,T4X 2L5,87,278,146,58,24,48,2,10,5,2,31,503.3676755,NA,Holdout
648,3194902,N,NA,NA,2/1/2018,L9S 0V2,33,178,114,15,33,66,2,9,0,18,39,746.6323424,NA,Estimation
649,3107323,NA,NA,NA,3/1/2018,E8P 0P8,63.5,257,147,57,38,76,2,68,2,6,0,879.6848611,NA,Holdout
650,2660179,N,NA,NA,12/8/2017,E7P 3V,64.9,282,142,59,12,36,3,13,18,5,0,430.8326595,NA,Estimation
651,3089305,N,NA,Mr,2/22/2018,E4X 3R,71.2,338,150,34,24,48,2,33,0,10,5,487.4456697,NA,Validation
652,2606902,N,NA,NA,11/25/2017,E8P 2J,53.5,197,171,68,19,57,3,7,19,14,17,619.9540522,NA,Estimation
653,1130251,N,NA,Mr,12/28/2017,T7Z 0L,106.6,204,173,34,18,36,2,17,3,15,1,411.2600905,NA,Validation
654,1444781,NA,NA,Mrs,11/25/2017,J5A 1G,41.4,286,269,73,9,27,3,5,0,4,18,270.5836912,NA,Holdout
655,1244430,N,NA,NA,12/25/2017,E5P 2J,75.1,220,165,46,24,48,2,47,0,1,0,525.7791861,NA,Estimation
656,2636172,N,NA,NA,2/10/2018,J8N 0S,11.2,215,161,3,10,20,2,3,1,1,15,265.3224041,NA,Validation
657,2245268,NA,NA,Mr,1/1/2018,E5M 0C,70,296,130,62,27,54,2,19,8,0,27,543.6874967,3,Holdout
658,1988125,N,Senior,NA,1/3/2018,J1A 3L,80.2,262,156,49,14,28,2,12,2,4,10,353.6296585,NA,Validation
659,3058538,N,NA,Mr,1/8/2018,E7B 0V,48.3,201,110,23,9,18,2,0,2,2,14,182.2239599,NA,Estimation
660,3252823,N,NA,Mr,2/16/2018,E5A 0R,84.1,85,124,48,18,36,2,20,3,6,7,450.0738764,NA,Estimation
661,1219338,N,NA,Mrs,3/1/2018,N4X 2K1,76.6,192,195,27,16,16,1,0,2,1,13,216.5738732,NA,Validation
662,1681257,N,NA,Ms,1/21/2018,G0C 3L6,89.5,279,127,39,23,46,2,1,24,18,3,516.1366942,NA,Validation
663,2196059,NA,NA,Mrs,1/26/2018,J3T 1W6,53.1,164,151,24,17,34,2,8,6,8,12,446.086853,NA,Holdout
664,3251454,N,Senior,Mrs,12/8/2017,J5W 0S1,50.6,38,133,50,14,28,2,1,5,8,14,349.5237893,NA,Validation
665,2469063,N,Student,NA,1/1/2018,G0T 0J4,34.6,219,153,37,7,14,2,0,0,0,14,169.8737143,NA,Validation
666,2190617,NA,NA,NA,1/5/2018,A0E 1Y1,NA,156,NA,NA,18,36,2,10,3,1,22,400.8363219,NA,Holdout
667,2315203,N,NA,NA,2/4/2018,J5A 2L3,43.2,192,196,36,14,28,2,7,10,0,11,341.9256584,NA,Validation
668,3073500,N,NA,Mr,1/29/2018,J0M 3W4,83.8,192,159,66,26,52,2,0,2,0,50,653.2586572,NA,Estimation
669,2987570,N,NA,Mr,11/26/2017,V9G 0S7,71.4,117,156,40,9,9,1,4,1,0,4,125.3977213,NA,Estimation
670,3309054,NA,Senior,Mrs,12/30/2017,G0R 0K,113.8,187,109,45,17,34,2,16,6,3,9,422.8236674,NA,Holdout
671,2038418,N,NA,Mr,2/10/2018,J8H 1H,46.8,163,173,54,38,114,3,28,1,17,68,1482.418303,NA,Estimation
672,1617205,Y,NA,Mr,1/15/2018,E8B 3A,93.6,184,135,60,35,70,2,46,8,0,16,900.6877944,3,Estimation
673,3147398,N,NA,Mr,2/6/2018,G0R 1H,59.5,161,293,30,11,22,2,10,0,4,8,298.3201634,NA,Estimation
674,2057709,N,NA,NA,2/25/2018,E5B 1H,NA,169,NA,NA,20,60,3,6,11,12,31,760.998642,NA,Validation
675,1389517,N,Senior,Mr,1/19/2018,T1G 3A,81.5,160,160,60,21,42,2,19,6,3,14,506.9890019,NA,Validation
676,3241864,NA,NA,NA,2/8/2018,L6A 3A,41.3,327,107,41,25,50,2,11,0,29,10,583.9743121,NA,Holdout
677,2227283,N,NA,Mr,11/8/2017,E6L 2W,48.9,241,187,71,8,8,1,3,1,0,4,83.04970226,NA,Estimation
678,2878629,N,NA,Mr,2/15/2018,H7B 0V,55.3,221,175,25,28,28,1,1,0,0,27,353.4605265,NA,Estimation
679,1520234,N,NA,Mrs,1/22/2018,E5J 0E,74.2,320,123,24,10,20,2,3,6,2,9,216.3901047,NA,Validation
680,1417413,N,Student,Mr,2/23/2018,L7J 0W,50,137,233,37,10,10,1,1,0,2,7,120.3928641,NA,Validation
681,2005655,Y,NA,Ms,1/1/2018,J2N 1S7,91.6,240,129,31,28,84,3,12,14,52,6,1165.156946,3,Validation
682,2887078,N,NA,NA,2/18/2018,N3Y 3P6,46,129,111,70,26,78,3,25,26,26,1,1083.578984,NA,Estimation
683,2735501,NA,NA,Mr,2/13/2018,S9X 1X3,74.3,166,197,13,10,10,1,7,0,3,0,129.7137413,NA,Holdout
684,3010628,N,NA,NA,12/12/2017,T1G 1Z9,72.9,235,160,17,11,11,1,0,0,8,3,144.4395422,NA,Estimation
685,1615092,NA,NA,NA,2/18/2018,H7X 3H8,48.7,160,99,45,13,13,1,0,1,2,10,168.3451326,NA,Holdout
686,1664146,NA,NA,Mr,12/24/2017,J4V 0C8,61.4,166,122,52,19,38,2,1,16,18,3,444.0639025,NA,Holdout
687,3292367,N,NA,Mrs,2/10/2018,T9M 1G6,56.9,303,121,19,25,50,2,44,2,2,2,509.4919443,NA,Estimation
688,1524091,N,NA,NA,2/26/2018,A1Y 2E4,89.2,311,112,42,11,22,2,14,2,1,5,266.1136437,NA,Validation
689,3261317,N,NA,NA,2/3/2018,V4V 3E8,101.1,148,190,68,18,36,2,24,0,7,5,412.7538374,NA,Validation
690,1899009,N,Senior,Ms,1/17/2018,H8R 2L,49.2,197,146,55,29,29,1,14,14,1,0,314.7114784,NA,Estimation
691,3253335,N,NA,Ms,11/27/2017,T4X 1T,88.6,269,286,5,12,12,1,2,0,4,6,152.3551736,NA,Estimation
692,1423927,N,NA,Mrs,12/30/2017,K1E 2Y,68.5,69,178,82,27,54,2,13,12,2,27,575.3384686,NA,Estimation
693,3327306,N,NA,NA,12/2/2017,G4W 0G,30.7,169,220,23,17,34,2,13,4,0,17,367.7429778,NA,Estimation
694,1158804,N,NA,Ms,1/18/2018,L4P 1W,54.9,265,203,44,27,54,2,32,3,19,0,639.2157337,NA,Estimation
695,1112518,N,NA,Mrs,11/22/2017,J5A 0H,79.2,226,143,50,11,33,3,0,11,17,5,331.2615041,NA,Estimation
696,1234229,N,NA,Mrs,2/21/2018,L9T 2J,72.9,178,159,49,21,63,3,24,0,15,24,836.2100529,NA,Validation
697,2095680,N,Senior,Dr,2/10/2018,J4V 2J,21.2,129,229,46,9,18,2,7,1,0,10,239.2731146,NA,Validation
698,2696631,N,NA,NA,1/8/2018,H9P 3P,81.6,256,156,75,22,22,1,5,1,5,11,285.7775167,NA,Estimation
699,1973673,NA,NA,NA,1/2/2018,R4K 0G,83.1,302,125,24,14,28,2,0,0,22,6,301.647869,NA,Holdout
700,3286509,NA,Senior,Mr,12/15/2017,T1G 0E,63.9,46,176,57,25,50,2,40,0,2,8,546.608576,NA,Holdout
701,2901655,N,NA,NA,12/1/2017,E8T 3S3,55.8,171,146,57,22,66,3,22,6,1,37,704.4440973,NA,Estimation
702,1460340,N,NA,Mr,12/27/2017,J6N 0T0,109.4,335,175,45,24,48,2,0,11,0,37,668.1622428,NA,Validation
703,2091282,Y,NA,Ms,12/24/2017,A2H 0A1,68.2,233,182,25,24,48,2,25,2,9,12,626.9178219,1,Estimation
704,2733502,N,NA,NA,12/17/2017,G3Z 3W6,69.7,185,215,51,26,26,1,4,0,9,13,286.5548631,NA,Estimation
705,3209308,NA,NA,NA,2/20/2018,H7M 3P8,47.5,118,145,72,44,25,0.568181818,7,0,12,6,333.1213204,NA,Holdout
706,1409604,NA,NA,NA,12/18/2017,E6J 1G9,43.1,174,138,38,23,46,2,33,0,10,3,601.3483171,NA,Holdout
707,2853092,N,NA,Ms,11/22/2017,P8N 0L7,39.5,253,237,59,18,36,2,0,3,0,33,451.6864749,NA,Validation
708,2440897,N,NA,Mr,12/21/2017,N7G 3K3,61.6,213,166,62,22,44,2,15,2,1,26,459.8386441,NA,Estimation
709,3098491,N,NA,Dr,2/10/2018,J8A 0T8,97.2,168,123,0,17,17,1,7,0,3,7,237.7384295,NA,Estimation
